match_id,p0hand,p1hand,hard,clay,grass,gender,sets_wr,sets_won,match_wr,match_win
20200308-W-Monterrey-F-Elina_Svitolina-Marie_Bouzkova,1,1,1,0,0,0,"[0.44086021505376344, 0.5333333333333333, 0.4461538461538462]","[0, 1, 0]",0.4721030042918455,0
20200307-W-Monterrey-SF-Elina_Svitolina-Arantxa_Rus,1,0,1,0,0,0,"[0.3409090909090909, 0.28205128205128205]","[0, 0]",0.3132530120481928,0
20200306-W-Monterrey-QF-Rebecca_Peterson-Arantxa_Rus,1,0,1,0,0,0,"[0.6428571428571429, 0.6041666666666666]","[1, 1]",0.6222222222222222,1
20200305-W-Monterrey-R16-Arantxa_Rus-Lauren_Davis,0,1,1,0,0,0,"[0.47572815533980584, 0.3404255319148936]","[0, 0]",0.43333333333333335,0
20200304-W-Monterrey-R32-Kim_Clijsters-Johanna_Konta,1,1,1,0,0,0,"[0.6037735849056604, 0.5526315789473685]","[1, 1]",0.5736434108527132,1
20200303-W-Monterrey-R32-Arantxa_Rus-Varvara_Flink,0,1,1,0,0,0,[0.4666666666666667],[0],0.4666666666666667,0
20200226-W-Doha-R16-Saisai_Zheng-Kiki_Bertens,1,1,1,0,0,0,"[0.5925925925925926, 0.42, 0.44155844155844154]","[1, 0, 0]",0.48066298342541436,0
20200226-W-Doha-R16-Dayana_Yastremska-Garbine_Muguruza,1,1,1,0,0,0,"[0.6078431372549019, 0.532258064516129]","[1, 1]",0.5663716814159292,1
20200225-W-Doha-R16-Petra_Kvitova-Carla_Suarez_Navarro,0,1,1,0,0,0,"[0.5303030303030303, 0.42857142857142855, 0.2]","[1, 0, 0]",0.4276729559748428,0
20200225-W-Acapulco-R32-Sara_Sorribes_Tormo-Sara_Errani,1,1,1,0,0,0,"[0.5402298850574713, 0.5384615384615384]","[1, 1]",0.5393939393939394,1
20200224-W-Doha-R64-Su_Wei_Hsieh-Vera_Zvonareva,1,1,1,0,0,0,"[0.5272727272727272, 0.5303030303030303]","[1, 1]",0.5289256198347108,1
20200224-W-Doha-R64-Shuai_Zhang-Carla_Suarez_Navarro,1,1,1,0,0,0,"[0.5068493150684932, 0.675]","[1, 1]",0.5663716814159292,1
20200224-W-Doha-R64-Elena_Rybakina-Sorana_Cirstea,1,1,1,0,0,0,"[0.5454545454545454, 0.48333333333333334, 0.3]","[1, 0, 0]",0.463855421686747,0
20200224-W-Doha-R32-Karolina_Muchova-Kiki_Bertens,1,1,1,0,0,0,"[0.6086956521739131, 0.5]","[1, 1]",0.5409836065573771,1
20200224-W-Acapulco-R32-Arantxa_Rus-Nao_Hibino,0,1,1,0,0,0,"[0.5432098765432098, 0.6111111111111112]","[1, 1]",0.5703703703703704,1
20200223-W-Doha-R64-Yaroslava_Shvedova-Laura_Siegemund,1,1,1,0,0,0,"[0.5757575757575758, 0.6190476190476191]","[1, 1]",0.5925925925925926,1
20200218-W-Dubai-R32-Su_Wei_Hsieh-Petra_Martic,1,1,1,0,0,0,"[0.5205479452054794, 0.5645161290322581]","[1, 1]",0.5407407407407407,1
20200218-W-Dubai-R32-Elena_Rybakina-Sofia_Kenin,1,1,1,0,0,0,"[0.5301204819277109, 0.43859649122807015, 0.44642857142857145]","[1, 0, 0]",0.47959183673469385,0
20200218-W-Dubai-R32-Dayana_Yastremska-Veronika_Kudermetova,1,1,1,0,0,0,"[0.4583333333333333, 0.5423728813559322, 0.5487804878048781]","[0, 1, 1]",0.5164319248826291,1
